DATE,NGMP16980
2001-01-01,401407.693
2002-01-01,411155.211
2003-01-01,425385.586
2004-01-01,449004.156
2005-01-01,472993.552
2006-01-01,500969.502
2007-01-01,523165.163
2008-01-01,520597.015
2009-01-01,510758.958
2010-01-01,523098.041
2011-01-01,542384.78
2012-01-01,570954.874
2013-01-01,583070.72
2014-01-01,609478.18
2015-01-01,636938.865
2016-01-01,647455.652
2017-01-01,665476.512
2018-01-01,700534.917
2019-01-01,720832.051
2020-01-01,692890.912
2021-01-01,764583.227
